Chương trình, mức giảm, mã giảm, số lần, giá nhỏ nhất, giảm tối đa, bắt đầu, kết thúc
klein,15,159AOsv1xAi8uaysl,1,55,555,444,555,
klein,15,155TIKf9MWcb6D3aY,1,55,555,444,555,
klein,15,15n0Xc1s2GsvIwQLV,1,55,555,444,555,
klein,15,15eYtYQSPrwl1gr2M,1,55,555,444,555,
klein,15,152zD0qA6UsEM7kGn,1,55,555,444,555,
klein,15,15xSp7drrpyxkp3Dx,1,55,555,444,555,
klein,15,15epe8pEJHWi1pqaW,1,55,555,444,555,
klein,15,15RJKgUjueuAphj8i,1,55,555,444,555,
klein,15,15RJO7Dpeck7qzL0f,1,55,555,444,555,
klein,15,15ueUtlKmF0nctI9J,1,55,555,444,555,
klein,15,1514C8olKxEkXdqZc,1,55,555,444,555,
klein,15,15Bdkhmg0wIMIiK89,1,55,555,444,555,
klein,15,15CQHvKrdbqNVKgY0,1,55,555,444,555,
klein,15,15grJYPNNUcICGqvd,1,55,555,444,555,
klein,15,15EU4188ploT40QEg,1,55,555,444,555,
klein,15,15pVsxr7NQeQe5d7o,1,55,555,444,555,
klein,15,15zvCtocIDjnz4XlM,1,55,555,444,555,
klein,15,15wCjE9ep2DBkfQnH,1,55,555,444,555,
klein,15,15YW5nmjKewqfE1ve,1,55,555,444,555,
klein,15,15Z8culmMygPBX0hD,1,55,555,444,555,
klein,15,15ipaxT9QJmA9oo6x,1,55,555,444,555,
klein,15,15YcNXW8CPjnwodWd,1,55,555,444,555,
klein,15,15Bh0zkBxeHLDfUby,1,55,555,444,555,
klein,15,15gXmXAHaCcdPoeI7,1,55,555,444,555,
klein,15,15AWxx6yyRQkBQ1Cy,1,55,555,444,555,
klein,15,15JzXFrFt4N3mgT2s,1,55,555,444,555,
klein,15,15Mn9s6NpXCeu7AWs,1,55,555,444,555,
klein,15,15p3coyERU4X5jGOn,1,55,555,444,555,
klein,15,15L7uvffNLnvIItB0,1,55,555,444,555,
klein,15,15VH59vR6r2Hgn3ox,1,55,555,444,555,
klein,15,15vDPWsz04iXytYZY,1,55,555,444,555,
klein,15,15D875afEykDa0IMI,1,55,555,444,555,
klein,15,15xvZvkc646Zqb8jm,1,55,555,444,555,
klein,15,15l5BE2UwshY3XNLP,1,55,555,444,555,
klein,15,15lPPXoXC4NsrT6VM,1,55,555,444,555,
klein,15,15kgKnq9Iyiadzspd,1,55,555,444,555,
klein,15,15JcRdYSOWuSRlrkY,1,55,555,444,555,
klein,15,15h8Fwo2DSKta2wXO,1,55,555,444,555,
klein,15,15FQlSIwEaiFtRWjg,1,55,555,444,555,
klein,15,15B1wgZiVGawwtCtE,1,55,555,444,555,
klein,15,15dVCFPYCpy4P0TgH,1,55,555,444,555,
klein,15,15S1rwQ724E01VLRC,1,55,555,444,555,
klein,15,15nfkOFyDUSUKqmwI,1,55,555,444,555,
klein,15,15Kpg9Y1BqYW1MntA,1,55,555,444,555,
klein,15,15slL9yUAr2NqGwdr,1,55,555,444,555,
klein,15,15bLaiNSLeh9x600X,1,55,555,444,555,
klein,15,15yNKb49P20Y2s472,1,55,555,444,555,
klein,15,15NPRw9y4oaQoY9jT,1,55,555,444,555,
klein,15,15BZmsnPyInzOdhcI,1,55,555,444,555,
klein,15,15eNJIGBEaykOcm1Z,1,55,555,444,555,
klein,15,15KMHV9v3v0OuakyK,1,55,555,444,555,
klein,15,15Gf8tSCIZ4Uxq9HD,1,55,555,444,555,
klein,15,15k7hjAkXijMZqdMB,1,55,555,444,555,
klein,15,15xd1Fv03xgsuWUmy,1,55,555,444,555,
klein,15,15XdniioLQ8mm1Vit,1,55,555,444,555,
klein,15,15ZUnW45aE76sk22h,1,55,555,444,555,
klein,15,15FmqT4rbvOwq30dc,1,55,555,444,555,
klein,15,15CGkf4ocAlDUNnah,1,55,555,444,555,
klein,15,15Js7lo1lzZbwzkP1,1,55,555,444,555,
klein,15,15VD8oCwmfuPnefiE,1,55,555,444,555,
klein,15,15BhcPkKiSybGQlUB,1,55,555,444,555,
klein,15,15XFxTUk0io0CC6GW,1,55,555,444,555,
klein,15,15opBs5qdf6t1CKD7,1,55,555,444,555,
klein,15,15g65Rm5vo16SfDtn,1,55,555,444,555,
klein,15,15QdygyVQuKnAmcnq,1,55,555,444,555,
klein,15,15rv1jZFId9sIvuiG,1,55,555,444,555,
klein,15,15odYpGDqzhtQwKVp,1,55,555,444,555,
klein,15,15RnQ7Eyr3OD5Jkig,1,55,555,444,555,
klein,15,15c69xAHToM8TGB5j,1,55,555,444,555,
klein,15,15nzgB6EpSGcQNofy,1,55,555,444,555,
klein,15,15fF94AmJoWAyqEgr,1,55,555,444,555,
klein,15,15zDJH3xiQ5USWF4w,1,55,555,444,555,
klein,15,15UPERvUzGB97Qs0Q,1,55,555,444,555,
klein,15,15rphkbiARGrY5VgI,1,55,555,444,555,
klein,15,15kqvh21pBEEyAacB,1,55,555,444,555,
klein,15,15W0j10c4872poVRu,1,55,555,444,555,
klein,15,15pTHVDHuZfVRa1XY,1,55,555,444,555,
klein,15,15dnnmGTTEYFVzh91,1,55,555,444,555,
klein,15,15WT2hzUgKucVpfPE,1,55,555,444,555,
klein,15,15GkHPmdiGRlFUxYl,1,55,555,444,555,
klein,15,15oSSyBuj2CpF5EXr,1,55,555,444,555,
klein,15,15R2UBk7Qmq600lFd,1,55,555,444,555,
klein,15,15wZGr1V0ZDZFzsE7,1,55,555,444,555,
klein,15,152w1XlW6nCxcDVXa,1,55,555,444,555,
klein,15,15eAmH8cn83A7arJx,1,55,555,444,555,
klein,15,15HElm9nn9pe5rdw5,1,55,555,444,555,
klein,15,15aaAkBD5sVmgg7H9,1,55,555,444,555,
klein,15,154pnxbD0Z68Ii4b9,1,55,555,444,555,
klein,15,15gbc4c4hLLX6C98K,1,55,555,444,555,
klein,15,15wKmXEYX2o7ToDsh,1,55,555,444,555,
klein,15,15k1xGI8gKKIEih8w,1,55,555,444,555,
klein,15,15VnVACLRXXS0IQel,1,55,555,444,555,
klein,15,15MxMnnxwtGF3kAsA,1,55,555,444,555,
klein,15,15fQO1aXuDgmYfAYI,1,55,555,444,555,
klein,15,15qz8vv5ONfGial8b,1,55,555,444,555,
klein,15,15g2lIIUPMGo6XaoV,1,55,555,444,555,
klein,15,15P9Jl5eMkwUCZ8Zq,1,55,555,444,555,
klein,15,15T6dZI6o6K9HTDpe,1,55,555,444,555,
klein,15,150pwK8xtD6gDVV4x,1,55,555,444,555,
klein,15,15x7tJuk082kN0spR,1,55,555,444,555,
klein,15,15zIlALwdD4hSy9OH,1,55,555,444,555,
klein,15,15LUYLEwWA573jDad,1,55,555,444,555,
klein,15,1557k16asqJhxjEMe,1,55,555,444,555,
klein,15,15wruLfkvHjFXXyL6,1,55,555,444,555,
klein,15,159QFP8QyPoBtqivi,1,55,555,444,555,
klein,15,15DodLAQaX3f2WpEQ,1,55,555,444,555,
klein,15,15p0VQTQS3H0dsHXp,1,55,555,444,555,
klein,15,15uaVDG2PWeJM6klj,1,55,555,444,555,
klein,15,15p4qxZ3g8SVORl46,1,55,555,444,555,
klein,15,1549qUu2ONmjEAB4O,1,55,555,444,555,
klein,15,15xUMZWhoyvwaMctn,1,55,555,444,555,
klein,15,15DB4ou4h4JYtT9e4,1,55,555,444,555,
klein,15,15gJlj7aUaKcUYhHD,1,55,555,444,555,
klein,15,15gN0WbHmOHf6TBTo,1,55,555,444,555,
klein,15,15k77Y3OjLFchEOCx,1,55,555,444,555,
klein,15,15stnCtNbOgwkjbjU,1,55,555,444,555,
klein,15,15LaPA90Qti1pQhlI,1,55,555,444,555,
klein,15,15qMoLK6efOlIEnnR,1,55,555,444,555,
klein,15,1574xu2bal90Jr9ma,1,55,555,444,555,
klein,15,15ycUEEgXviXCNNfm,1,55,555,444,555,
klein,15,15v0844iyWrCiti6e,1,55,555,444,555,
klein,15,156jsxvgpVp8OKA0B,1,55,555,444,555,
klein,15,158AntTyEt17UxK7p,1,55,555,444,555,
klein,15,15z8R5jcMjopCHCYE,1,55,555,444,555,
klein,15,15lwyb932hKwRGVyq,1,55,555,444,555,
klein,15,15cxnxVC4Zvft8pwQ,1,55,555,444,555,
klein,15,15zJ8xRMGeva6oxva,1,55,555,444,555,
klein,15,15OOiipMAeh57cHMW,1,55,555,444,555,
klein,15,15odZErYnMZ4TH40i,1,55,555,444,555,
klein,15,15lwgkf2s4qeE0oYE,1,55,555,444,555,
klein,15,15Omg9wb3Uj72aBN7,1,55,555,444,555,
klein,15,15VK2s2R5glkCww1I,1,55,555,444,555,
klein,15,15EVb9t3SWAcOqDel,1,55,555,444,555,
klein,15,15NxMuAmQeylKUyOU,1,55,555,444,555,
klein,15,15tjJOFNKihvwINrk,1,55,555,444,555,
klein,15,15Tec55vfcboEiuu4,1,55,555,444,555,
klein,15,15NCABEA7K2FNCSKi,1,55,555,444,555,
klein,15,15fo4xrPDtnwZ0dHs,1,55,555,444,555,
klein,15,1523Ri37ies2a302e,1,55,555,444,555,
klein,15,15fvqCi0G5KDrp54t,1,55,555,444,555,
klein,15,150bo5cRULQAiA7FD,1,55,555,444,555,
klein,15,154GdUAoQpM8WIoWg,1,55,555,444,555,
klein,15,15U4r0C0b3ccF1ixs,1,55,555,444,555,
klein,15,15IPqrflVYVBZuMyo,1,55,555,444,555,
klein,15,15mBXd2UaGaTkYS5S,1,55,555,444,555,
klein,15,15PfM7jqAAvS0xD3z,1,55,555,444,555,
klein,15,15WaQdaucymTOOwAe,1,55,555,444,555,
klein,15,15Fx5us9ZTbz47mqU,1,55,555,444,555,
klein,15,15aUA2RNnfzQcsRlv,1,55,555,444,555,
klein,15,15MDtABXby0GNUIjv,1,55,555,444,555,
klein,15,15dWL49io0z2tlqqd,1,55,555,444,555,
klein,15,15p8QPOX57SkedVPW,1,55,555,444,555,
klein,15,15WGulyp4IcthXMz6,1,55,555,444,555,
klein,15,15RZZjZnBPllktxGw,1,55,555,444,555,
klein,15,15vMLStdwU56Wg95l,1,55,555,444,555,
klein,15,15c6orGZKHh9NDwVI,1,55,555,444,555,
klein,15,15Eh9Ybs3s5Ch4mio,1,55,555,444,555,
klein,15,15zpbvlgQhh5NzEDL,1,55,555,444,555,
klein,15,15pPMmgSIBXAWfQLC,1,55,555,444,555,
klein,15,15hHRbVeEqKL1khhC,1,55,555,444,555,
klein,15,15dUtRuEY8SIi4jfl,1,55,555,444,555,
klein,15,15dh3wYOqFLf2W4g8,1,55,555,444,555,
klein,15,15TMQhNxMZjCnQ6UW,1,55,555,444,555,
klein,15,15rbJFxpGRgjIcuKw,1,55,555,444,555,
klein,15,15Yevva1CJ5tgyTU1,1,55,555,444,555,
klein,15,15oU4JwOOBTFaTUhx,1,55,555,444,555,
klein,15,15ghSJgjjoRtHkoOo,1,55,555,444,555,
klein,15,15kvibWheHYzv9ett,1,55,555,444,555,
klein,15,150c7FCalm0CQLQkw,1,55,555,444,555,
klein,15,152idSK9z3lcSOGKx,1,55,555,444,555,
klein,15,15mgCRRu149Ag0AJr,1,55,555,444,555,
klein,15,15yMfbx0fDobDgoF2,1,55,555,444,555,
klein,15,15I8u9XKbMvmLBbPs,1,55,555,444,555,
klein,15,15klZMZ3CecGnV6NC,1,55,555,444,555,
klein,15,15ciNI2FpSlEmJFid,1,55,555,444,555,
klein,15,15nwXfg8KedBT2Fv9,1,55,555,444,555,
klein,15,157Ll2E6pWzDqSjFf,1,55,555,444,555,
klein,15,15IIL0SLTKW5pYtd1,1,55,555,444,555,
klein,15,15QCvMBHrDvCzmPRo,1,55,555,444,555,
klein,15,15ATfdTPeRZ4T76Ty,1,55,555,444,555,
klein,15,15VU3mv012YKv8O6k,1,55,555,444,555,
klein,15,15wLjO6ns8fThQ6e1,1,55,555,444,555,
klein,15,15pAM1JXnuBny7MJM,1,55,555,444,555,
klein,15,15uqbV4Bb14STj2uS,1,55,555,444,555,
klein,15,154ugnH28GGOEQZnE,1,55,555,444,555,
klein,15,15NZ9u0lIzG4imMrJ,1,55,555,444,555,
klein,15,15UHsuMdBOutiYREA,1,55,555,444,555,
klein,15,154U7qao1xcQpqrEY,1,55,555,444,555,
klein,15,15JmbsAtNmI30z1po,1,55,555,444,555,
klein,15,15qtE0vXEB2jhaCnk,1,55,555,444,555,
klein,15,15AiNd8l6UOmCwDkC,1,55,555,444,555,
klein,15,15JYqgyhtbrIEZkWQ,1,55,555,444,555,
klein,15,15vu7mhhO4QcpYkXo,1,55,555,444,555,
klein,15,15XpvVBq7KB6Ufjlx,1,55,555,444,555,
klein,15,15BdOdqfBiBXRRIMC,1,55,555,444,555,
klein,15,15lzK1sofTRB9aRX1,1,55,555,444,555,
klein,15,15vZVeNUlAfzja2N6,1,55,555,444,555,
klein,15,15S4fQIY3k40ixHmI,1,55,555,444,555,
klein,15,15kUZLvS7H3RhpjnD,1,55,555,444,555,
klein,15,15BGMFCFfgDpSFnoB,1,55,555,444,555,
klein,15,15QMzQv0k7T8Z4EZq,1,55,555,444,555,
klein,15,15oWHUavPUtKokNk0,1,55,555,444,555,
klein,15,15PdsGXz9qHNrMLT1,1,55,555,444,555,
klein,15,15YfW5QDyeKhUSZQj,1,55,555,444,555,
klein,15,15SCH2XsQFfBGaJce,1,55,555,444,555,
klein,15,152gdCL5bYoFUsC3U,1,55,555,444,555,
klein,15,15Rm7DzuRINeGnPoq,1,55,555,444,555,
klein,15,15lxU5gVupbJDRytn,1,55,555,444,555,
klein,15,15Js9EpzzTcxo210N,1,55,555,444,555,
klein,15,15AgUQR162UBv2iFL,1,55,555,444,555,
klein,15,15AJsl4eUMDVjVseO,1,55,555,444,555,
klein,15,15fHx1hQOYlfRbuUn,1,55,555,444,555,
klein,15,15SD2rXQPUJmZ02tu,1,55,555,444,555,
klein,15,15a77AdC21n4dmLbZ,1,55,555,444,555,
klein,15,155DnCI9ew47PeNYK,1,55,555,444,555,
klein,15,15IvOHk4l500vnbDr,1,55,555,444,555,
klein,15,15kHvCFufd9chG8RR,1,55,555,444,555,
klein,15,15vzffwIPw39JqyIA,1,55,555,444,555,
klein,15,15gGGcOM7zrJ1bdZE,1,55,555,444,555,
klein,15,15b0UzlaYQ2CtSuDW,1,55,555,444,555,
klein,15,15yFT4rRXfa61NNFs,1,55,555,444,555,
klein,15,154FblHN3psD3FF84,1,55,555,444,555,
klein,15,150YVNDquN418RFfO,1,55,555,444,555,
klein,15,159DAYvtRHol24MOH,1,55,555,444,555,
klein,15,15MJJOTWZqInyhZf5,1,55,555,444,555,
klein,15,15bmkXBMbSIsYPTit,1,55,555,444,555,
klein,15,15PmwrvJEC6Q1OupX,1,55,555,444,555,
klein,15,151ZpL9WGh93Jy4XX,1,55,555,444,555,
klein,15,15hf38DpLxTxq693D,1,55,555,444,555,
klein,15,15yzAe43pzZRZe5tO,1,55,555,444,555,
klein,15,15cTP8UQfzkNEIH4q,1,55,555,444,555,
klein,15,15zRbEtigoR1XmyFI,1,55,555,444,555,
klein,15,156uJR4HNrGQ2xrps,1,55,555,444,555,
klein,15,15aI9MWOR9ikUL2hs,1,55,555,444,555,
klein,15,15mLb7wyBdJl7xpXX,1,55,555,444,555,
klein,15,15608pkyTvZIrR9Pq,1,55,555,444,555,
klein,15,156taEUS7T9gKeuCR,1,55,555,444,555,
